spid,CCNAME,DNAME,CLNAME,EFEACODE,TOTAL,HH,COORD_X,COORD_Y,sname,scode,index,index_key,snumber,map
1,Montserrado,Greater Monrovia,Z1100 King Gray-Elwa,3004553071,689,103,-10.69912553,6.241306731,Segment  1,101,1,1,3,"https://www.google.co.uk/maps/place/6.24130673111585,-10.6991255341117"
1,Montserrado,Greater Monrovia,Z1100 King Gray-Elwa,3004553091,758,127,-10.69342763,6.238172655,Segment  2,102,2,2,3,"https://www.google.co.uk/maps/place/6.2381726551423,-10.6934276325029"
1,Montserrado,Greater Monrovia,Z1100 King Gray-Elwa,3004553101,374,74,-10.69383251,6.235279028,Segment  3,103,3,3,3,"https://www.google.co.uk/maps/place/6.23527902776275,-10.6938325098648"
2,Montserrado,Greater Monrovia,Z1100 Rehab/Borbor Town,3004557251,574,84,-10.66977539,6.23425417,Segment  1,201,4,4,3,"https://www.google.co.uk/maps/place/6.23425417039307,-10.6697753864817"
2,Montserrado,Greater Monrovia,Z1100 Kende-jah,3004555081,467,80,-10.67538629,6.231693267,Segment  2,202,5,5,3,"https://www.google.co.uk/maps/place/6.23169326712187,-10.6753862877638"
2,Montserrado,Greater Monrovia,Z1100 Kende-jah,3004555091,724,131,-10.67016463,6.230530442,Segment  3,203,6,6,3,"https://www.google.co.uk/maps/place/6.23053044169502,-10.6701646331805"
3,Montserrado,Greater Monrovia,Z1100 Rehab/Borbor Town,3004557341,373,83,-10.64004816,6.233860928,Segment  1,301,7,7,3,"https://www.google.co.uk/maps/place/6.23386092766711,-10.6400481556092"
3,Montserrado,Greater Monrovia,Z1100 Rehab/Borbor Town,3004557351,444,73,-10.63554816,6.233353253,Segment  2,302,8,8,3,"https://www.google.co.uk/maps/place/6.23335325266165,-10.6355481629464"
3,Montserrado,Greater Monrovia,Z1100 Kende-jah,3004555151,296,68,-10.64270674,6.228568219,Segment  3,303,9,9,3,"https://www.google.co.uk/maps/place/6.22856821916824,-10.6427067410316"
4,Montserrado,Greater Monrovia,Z1000 Congo Town Old Rd,3004457051,506,92,-10.7183403,6.263503082,Segment  1,401,10,10,3,"https://www.google.co.uk/maps/place/6.26350308172335,-10.7183403021029"
4,Montserrado,Greater Monrovia,Z1000 Congo Town Old Rd,3004457131,393,74,-10.71752535,6.260613395,Segment  2,402,11,11,3,"https://www.google.co.uk/maps/place/6.26061339506761,-10.7175253499589"
4,Montserrado,Greater Monrovia,Z1000 Congo Town Old Rd,3004457121,582,96,-10.71247837,6.257700925,Segment  3,403,12,12,3,"https://www.google.co.uk/maps/place/6.25770092543825,-10.7124783738752"
5,Montserrado,Greater Monrovia,Z1100 Paynesville Joe Bar,3004563151,1039,208,-10.68459508,6.260329703,Segment  1,501,13,13,3,"https://www.google.co.uk/maps/place/6.26032970251159,-10.6845950755415"
