"spid","CCNAME","DNAME","CLNAME","FEACODE","SAREA","EFEACODE","CCODE","DCODE","CLCODE","EACODE","TOTAL","MALE","FEMALE","HH","CCODE1","DCODE1","CLCODE1","EACODE1","lon","lat","d","gmap"
1,"Montserrado","Greater Monrovia","Z1100 Rehab/Borbor Town",300407141,"SA008",3004557141,30,4,557,141,366,168,198,61,30,4,557,141,-10.6902358147348,6.24318038580604,0.375803905560181,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.24318038580604%2C-10.6902358147348&z=16"
1,"Montserrado","Greater Monrovia","Z1100 Rehab/Borbor Town",300407151,"SA008",3004557151,30,4,557,151,367,186,181,65,30,4,557,151,-10.688664742894,6.24186742175124,0.331440489199509,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.24186742175124%2C-10.688664742894&z=16"
1,"Montserrado","Greater Monrovia","Z1100 Rehab/Borbor Town",300407171,"SA008",3004557171,30,4,557,171,917,451,466,152,30,4,557,171,-10.6853245087173,6.2403317965356,0.21103444120804,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.2403317965356%2C-10.6853245087173&z=16"
2,"Montserrado","Greater Monrovia","Z1100 Rehab/Borbor Town",300407261,"SA006",3004557261,30,4,557,261,464,254,210,91,30,4,557,261,-10.6675678268574,6.24114340247388,0.59189942806325,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.24114340247388%2C-10.6675678268574&z=16"
2,"Montserrado","Greater Monrovia","Z1100 Rehab/Borbor Town",300407271,"SA006",3004557271,30,4,557,271,581,286,295,111,30,4,557,271,-10.6643613856028,6.2382319917344,0.576247754614784,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.2382319917344%2C-10.6643613856028&z=16"
2,"Montserrado","Greater Monrovia","Z1100 Rehab/Borbor Town",300407301,"SA005",3004557301,30,4,557,301,389,191,198,78,30,4,557,301,-10.6590017452668,6.24132810095416,0.446031620378908,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.24132810095416%2C-10.6590017452668&z=16"
3,"Montserrado","Greater Monrovia","Z1000 Congo Town Old Rd",300407021,"SA03",3004457021,30,4,457,21,647,317,330,143,30,4,457,21,-10.7256594719657,6.2670537921854,0.359342253232647,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.2670537921854%2C-10.7256594719657&z=16"
3,"Montserrado","Greater Monrovia","Z1000 Congo Town Old Rd",300407041,"SA02",3004457041,30,4,457,41,349,194,155,107,30,4,457,41,-10.7209743102388,6.26487589931535,0.328082923971645,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.26487589931535%2C-10.7209743102388&z=16"
3,"Montserrado","Greater Monrovia","Z1000 Congo Town Old Rd",300407141,"SA03",3004457141,30,4,457,141,219,115,104,52,30,4,457,141,-10.7246363384382,6.26344652433556,0.123542228046993,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.26344652433556%2C-10.7246363384382&z=16"
4,"Montserrado","Greater Monrovia","Z1100 Town Hall",300404071,"SA023",3004554071,30,4,554,71,743,328,415,139,30,4,554,71,-10.7001174226572,6.26576020919495,0.195794571602822,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.26576020919495%2C-10.7001174226572&z=16"
